,university,career,full_name,gender,postal_code,location,email,birth_date
66,universidad nacional de jujuy,licenciatura en terapia ocupacional,karen parker,f,,el talar,hbrown@yahoo.com,1916-09-01
67,universidad nacional de jujuy,ingeniería mecánica,amy newman,f,,alto del saladillo,warrengabrielle@gmail.com,1943-12-07
68,_universidad_de_palermo,licenciatura_en_ciencias_geológicas,ryan_schwartz,m,1761,,tphillips@hotmail.com,1919-04-11
69,universidad nacional de jujuy,bioquímica,cindy david,f,,caminera samborombon,thomas13@gmail.com,1919-07-19
70,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,jeffrey williams,m,,indio rico,anthony20@yahoo.com,1991-05-08
71,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,james taylor,m,,gobernador benegas,nicole33@gmail.com,1949-12-23
72,_universidad_de_palermo,ingeniería_electrónica,jordan_ramsey,f,1617,,edgarjacobs@yahoo.com,1939-06-14
73,_universidad_de_palermo,licenciatura_en_psicología,tyler_tucker,m,8164,,ortizwalter@gmail.com,1984-03-05
74,universidad nacional de jujuy,licenciatura en administración ,kelly king,f,,chanilao,djones@yahoo.com,1912-02-25
75,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,shawn garrison,m,,la eduvigis,cherrystephen@gmail.com,1951-12-30
76,_universidad_de_palermo,licenciatura_en_ciencias_ambientales,rebekah_thompson,f,5383,,xbrown@hotmail.com,1914-04-29
77,universidad nacional de jujuy,licenciatura en ciencias geológicas,david douglas,m,,colonia cunci,patricia55@hotmail.com,2001-07-27
78,universidad nacional de jujuy,licenciatura en ciencias ambientales,christina ross,f,,barrio carosio,mrobertson@hotmail.com,1972-05-09
79,universidad nacional de jujuy,licenciatura en ciencias de la computación,cory martinez,m,,ricardone,robertwells@gmail.com,1915-08-27
80,universidad nacional de jujuy,medicina,joseph mitchell,m,,labordeboy,harveyjulie@gmail.com,1916-12-07
81,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,vanessa miller,f,,matheu,gregjarvis@yahoo.com,1923-03-14
82,universidad nacional de jujuy,licenciatura en sociología ,david evans,m,,virrey del pino,ztaylor@hotmail.com,1907-07-05
83,universidad nacional de jujuy,diseño industrial,erika smith,f,,atencio,weaverandrea@gmail.com,1913-06-02
84,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,rachel dean,f,,benavidez,monicaleonard@gmail.com,1910-04-01
85,universidad nacional de jujuy,licenciatura en psicología,andre sanders,m,,moron,austinwiggins@hotmail.com,1940-03-03
86,universidad nacional de jujuy,licenciatura en musicoterapia,derek martin,m,,barrio belgrano ortiz,xgray@yahoo.com,1912-12-11
87,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,david dawson,m,,cañada la negra,jessicajones@yahoo.com,1987-08-19
88,universidad nacional de jujuy,licenciatura en ciencia política ,lauren booker,f,,arroyo del medio,kcollins@gmail.com,1938-08-13
89,universidad nacional de jujuy,licenciatura en administración ,kyle brown,m,,carmen de areco,charleshubbard@gmail.com,1940-12-02
90,universidad nacional de jujuy,técnico para bioterios ,april chambers,f,,los sembrados,ngreen@hotmail.com,1969-06-27
91,universidad nacional de jujuy,medicina,olivia gonzales,f,,beccar,donnaellison@hotmail.com,1956-10-10
92,universidad nacional de jujuy,diseño industrial,mark cantu,m,,barrio pedro rocco,brittany86@hotmail.com,1982-09-28
93,universidad nacional de jujuy,arquitectura,brittany gonzalez,f,,la blanqueada,rebeccasmith@yahoo.com,1962-06-29
94,universidad nacional de jujuy,licenciatura en ciencias de la computación,george garcia,m,,berraondo,johnsongina@hotmail.com,1936-11-22
95,universidad nacional de jujuy,licenciatura en musicoterapia,jessica freeman,f,,cañada de las vacas,rbush@hotmail.com,1996-10-21
96,universidad nacional de jujuy,licenciatura en ciencias de la educación ,gilbert tyler,m,,graciarena,mrobbins@gmail.com,1986-02-15
97,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,maureen forbes,f,,barker,pharris@gmail.com,1987-06-09
98,universidad nacional de jujuy,ciencias veterinarias,marcus santana,m,,bahia creek,donna28@hotmail.com,1925-12-29
99,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,deborah martin,f,,ataliva,smithjoshua@hotmail.com,1905-12-06
100,universidad nacional de jujuy,farmacia,megan lynch,f,,agua de dionisio,williamshannah@yahoo.com,1922-04-23
101,universidad nacional de jujuy,ingeniería mecánica,cheryl wilson,f,,cupiles,stephaniecarroll@gmail.com,1939-06-28
102,universidad nacional de jujuy,ingeniería en informática,collin schroeder,m,,1 de mayo,iwilliams@yahoo.com,1939-11-05
103,universidad nacional de jujuy,arquitectura,andrea cruz,f,,costa brava,christianjohnson@gmail.com,1906-12-31
104,universidad nacional de jujuy,diseño industrial,rebecca reeves,f,,indacochea,charlottevalenzuela@hotmail.com,1982-06-06
105,universidad nacional de jujuy,licenciatura en ciencias antropológicas,donna barton,f,,balde ahumada,jeremythornton@gmail.com,1978-05-15
106,universidad nacional de jujuy,licenciatura en ciencias geológicas,valerie acosta,f,,colonia duportal,alyssalester@yahoo.com,1992-04-04
107,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,todd rose,m,,agustin mosconi,bentleydaniel@yahoo.com,1974-06-06
108,universidad nacional de jujuy,licenciatura en ciencia política ,debra davis,f,,chañarcito,mooreandrea@hotmail.com,1948-01-25
109,universidad nacional de jujuy,licenciatura en ciencias ambientales,dawn edwards,f,,estancia santa catalina,webbalexandria@gmail.com,1915-08-20
110,_universidad_de_palermo,medicina,william_nelson,m,1884,,smithjennifer@yahoo.com,1909-04-30
111,universidad nacional de jujuy,ingeniería electrónica,kristin jackson,f,,cevil grande,sarabell@gmail.com,1971-04-01
112,universidad nacional de jujuy,licenciatura en sociología ,mrs. jessica wagner md,f,,flamenco,carolwong@gmail.com,1915-08-05
113,universidad nacional de jujuy,licenciatura en ciencias ambientales,martin simmons,m,,el alto,jasonreid@hotmail.com,1916-09-20
114,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,miss donna snyder,f,,lomas del mirador,michael42@yahoo.com,1907-11-04
115,_universidad_de_palermo,licenciatura_en_terapia_ocupacional,emily_rodriguez,f,2631,,fitzgeraldbeth@yahoo.com,1920-09-24
116,_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,eric_smith,m,2718,,knappemily@yahoo.com,1965-09-16
117,_universidad_de_palermo,licenciatura_en_ciencias_geológicas,damon_smith,m,6476,,wdawson@hotmail.com,1974-07-25
118,universidad nacional de jujuy,licenciatura en ciencias ambientales,wayne ortiz,m,,chancay,ronaldbrown@hotmail.com,1926-07-24
119,_universidad_de_palermo,diseño_de_imagen_y_sonido,jeffrey_reynolds,m,3472,,lindafriedman@yahoo.com,1924-08-03
120,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,mary_carpenter,f,3318,,kenneth82@gmail.com,1945-12-21
121,universidad nacional de jujuy,actuario ,brian nash,m,,antiguyos,gabriellediaz@hotmail.com,1956-10-19
122,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,pamela schaefer,f,,buena vista,epatton@yahoo.com,2000-11-22
123,universidad nacional de jujuy,licenciatura en ciencias de la computación,jeffery cooley,m,,aldea san jorge,christopherallen@yahoo.com,1927-10-31
124,universidad nacional de jujuy,licenciatura en producción de bioimagenes,aaron mejia,m,,lehmann,jbrown@gmail.com,1913-08-24
125,_universidad_de_palermo,agronomía,nancy_burns,f,1646,,qmorrow@gmail.com,1987-09-07
126,universidad nacional de jujuy,diseño de imagen y sonido,joseph adkins,m,,adolfo gonzales chaves,hector26@yahoo.com,1962-12-21
127,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,anita miller,f,,campo la lima,ortizcarol@gmail.com,1988-09-07
128,_universidad_de_palermo,licenciatura_en_ciencias_geológicas,michael_bird,m,5340,,david44@hotmail.com,1932-11-08
129,universidad nacional de jujuy,ciencias veterinarias,patrick peterson,m,,arroyo moreira,irobinson@hotmail.com,1924-07-24
130,universidad nacional de jujuy,licenciatura en ciencias ambientales,corey cooper,m,,buena vista,woodsmary@gmail.com,1930-01-25
131,_universidad_de_palermo,contador_público_,brandon_stein,m,2905,,rebeccabaker@hotmail.com,2005-11-11
132,universidad nacional de jujuy,licenciatura en ciencias de la computación,micheal bennett,m,,colonia berro,pearsonheather@hotmail.com,1961-10-19
133,universidad nacional de jujuy,licenciatura en ciencia política ,katelyn ball,f,,abra de hinojo,erikmelton@hotmail.com,1956-05-12
134,universidad nacional de jujuy,licenciatura en musicoterapia,megan lopez,f,,arroyo de la ventana,reeddonald@yahoo.com,1967-03-11
135,universidad nacional de jujuy,ingeniería en informática,brittany morgan,f,,bosques,luis99@gmail.com,1971-04-15
136,universidad nacional de jujuy,licenciatura en terapia ocupacional,becky jordan,f,,maggiolo,walterskyle@gmail.com,1956-02-26
137,universidad nacional de jujuy,licenciatura en producción de bioimagenes,walter clay,m,,base aeronaval punta indio,burnsjoshua@gmail.com,1927-11-29
138,universidad nacional de jujuy,licenciatura en ciencias ambientales,brittney kennedy,f,,cañadon de las vacas,wjoseph@hotmail.com,1995-09-24
139,universidad nacional de jujuy,bioquímica,robert ramirez,m,,francisco casal,fbrown@yahoo.com,1956-08-09
140,universidad nacional de jujuy,ingeniería electrónica,ricardo chen,m,,punta lara,jessicawood@yahoo.com,1930-06-11
141,_universidad_de_palermo,licenciatura_en_administración_,joshua_porter,m,4230,,uneal@gmail.com,1988-11-05
142,universidad nacional de jujuy,licenciatura en producción de bioimagenes,john butler,m,,juan vela,jacquelineroberts@gmail.com,1969-10-28
143,universidad nacional de jujuy,licenciatura en administración ,david cobb,m,,ambrosetti,edwardsheather@yahoo.com,1912-07-26
144,universidad nacional de jujuy,licenciatura en ciencias de la educación ,alexander nelson,m,,campo moreno,russostephanie@hotmail.com,1944-09-28
145,_universidad_de_palermo,licenciatura_en_kinesiología_y_fisiatría,jay_jones,m,6723,,rossbarbara@hotmail.com,1938-04-29
146,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,brittany perez,f,,ceres,angelarobinson@gmail.com,1917-07-29
147,universidad nacional de jujuy,agronomía,lisa bowman,f,,ranelagh,reynoldsdavid@yahoo.com,1914-04-30
148,universidad nacional de jujuy,agronomía,stephen evans,m,,ayacucho,sharon96@gmail.com,1910-06-02
149,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,ruben dougherty,m,,colonia clara,gyang@gmail.com,1972-10-21
150,universidad nacional de jujuy,agronomía,ricky frye,m,,villa adelina,wwilliams@hotmail.com,1960-07-14
151,universidad nacional de jujuy,diseño industrial,mark thompson,m,,boeuf,perry39@hotmail.com,2004-09-04
152,universidad nacional de jujuy,contador público ,jose davis,m,,blas durañona,anneking@hotmail.com,2005-07-02
153,universidad nacional de jujuy,licenciatura en ciencias geológicas,richard foster,m,,la lucila,richardpatricia@yahoo.com,1973-12-24
154,universidad nacional de jujuy,licenciatura en artes,aaron shah md,m,,chumbicha,riddledavid@yahoo.com,1920-01-14
155,universidad nacional de jujuy,diseño de imagen y sonido,austin smith,m,,alabama,tmcbride@gmail.com,1947-10-10
156,universidad nacional de jujuy,licenciatura en musicoterapia,travis gray,m,,planchada banderita,harrydaniel@hotmail.com,1931-05-07
157,_universidad_de_palermo,licenciatura_en_producción_de_bioimagenes,hunter_sanford,m,8534,,sheilastanley@gmail.com,1918-03-30
158,universidad nacional de jujuy,licenciatura en ciencia política ,alejandro kennedy,m,,barrio parque leloir,robertsullivan@hotmail.com,1921-02-04
159,universidad nacional de jujuy,diseño industrial,tina bass,f,,de la canal,gomezjeremy@hotmail.com,1988-11-13
160,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,levi mason,m,,kilometro 208,danielsjames@gmail.com,1906-02-22
161,universidad nacional de jujuy,ingeniería electrónica,wanda cisneros md,f,,la bilbaina,vbentley@hotmail.com,1915-05-27
162,universidad nacional de jujuy,medicina,karen flores,f,,arequito,gregorythomas@hotmail.com,1915-09-19
163,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,angela hernandez,f,,barrancas,matthewcruz@gmail.com,1963-08-23
164,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,jonathan murphy,m,,colonia las yescas,campbellrobert@hotmail.com,1962-08-30
165,universidad nacional de jujuy,actuario ,christopher wiley,m,,9 de julio,ryanhughes@hotmail.com,1991-07-16
166,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,danielle prince,f,,arauco,lisaaustin@hotmail.com,2003-07-20
167,_universidad_de_palermo,licenciatura_en_sociología_,wendy_williams,f,7000,,carlpowell@yahoo.com,1918-06-26
168,universidad nacional de jujuy,contador público ,william jones,m,,caracoles,johnwilcox@gmail.com,1979-10-07
169,universidad nacional de jujuy,licenciatura en producción de bioimagenes,elizabeth moore,f,,arroyo aguila negra,orodriguez@gmail.com,1911-10-05
170,universidad nacional de jujuy,técnico para bioterios ,maureen shaffer,f,,santos lugares,aweaver@hotmail.com,1975-09-25
171,universidad nacional de jujuy,diseño de imagen y sonido,timothy curry,m,,balneario claromeco,bwalton@gmail.com,1989-04-12
172,universidad nacional de jujuy,diseño industrial,daniel rowland,m,,9 de julio,ahansen@yahoo.com,1965-01-07
173,universidad nacional de jujuy,ingeniería en informática,george shelton,m,,agua verde,mannjordan@gmail.com,1958-04-01
174,universidad nacional de jujuy,licenciatura en terapia ocupacional,rebecca perry,f,,villa sauce,shawnford@hotmail.com,1913-07-07
175,_universidad_de_palermo,contador_público_,diana_walker,f,2119,,cmartinez@yahoo.com,1906-03-10
176,universidad nacional de jujuy,ingeniería en informática,sharon fox,f,,vicente lopez,bnelson@hotmail.com,1965-04-12
177,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,john brown,m,,general hornos,mbrown@hotmail.com,1911-08-29
178,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,ashley richmond,f,,langueyu,egill@yahoo.com,1984-01-23
179,universidad nacional de jujuy,diseño industrial,paul reynolds,m,,apoyaco,davidjackson@gmail.com,1908-09-06
180,universidad nacional de jujuy,actuario ,kimberly chen,f,,iturraspe,christopherharris@yahoo.com,1975-06-11
181,_universidad_de_palermo,licenciatura_en_ciencia_política_,cynthia_robinson,f,1623,,lindalee@gmail.com,1945-02-04
182,universidad nacional de jujuy,licenciatura en ciencias biológicas,paul ho,m,,agua colorada,jackie19@gmail.com,1928-11-27
183,_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,tammy_strickland,f,3226,,laurasmith@hotmail.com,1909-01-10
184,universidad nacional de jujuy,farmacia,erica harris,f,,lavalle,michelle61@hotmail.com,1980-03-15
185,universidad nacional de jujuy,contador público ,christina white,f,,fuerte quemado,kendracampbell@hotmail.com,1918-09-29
186,universidad nacional de jujuy,licenciatura en ciencia política ,kathryn coleman,f,,gonzalez catan,laneryan@hotmail.com,1908-10-03
187,universidad nacional de jujuy,licenciatura en ciencias ambientales,sarah reid,f,,aparzo,matthewsdaniel@gmail.com,1955-05-22
188,universidad nacional de jujuy,ingeniería mecánica,christopher sanchez,m,,favelli,sandybrown@gmail.com,1946-12-09
189,universidad nacional de jujuy,licenciatura en ciencias antropológicas,don wagner,m,,empalme villa constitucion,sherrimason@hotmail.com,1951-06-26
190,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,robert brooks,m,,alberti,stephanie76@gmail.com,1979-04-28
191,universidad nacional de jujuy,farmacia,jessica patton,f,,cañadon caliente,emilywatson@hotmail.com,1952-02-08
192,universidad nacional de jujuy,técnico para bioterios ,todd fitzgerald,m,,ituzaingo,robertsfrank@yahoo.com,1935-01-30
193,_universidad_de_palermo,agronomía,tyler_parker,m,7307,,eriley@yahoo.com,1916-08-11
194,universidad nacional de jujuy,actuario ,charles peterson,m,,francisco paz,jessicawheeler@yahoo.com,1932-07-19
195,universidad nacional de jujuy,medicina,whitney pham,f,,cortines,james68@hotmail.com,1958-05-12
196,universidad nacional de jujuy,bioquímica,aaron sandoval,m,,cabo san fermin,joseph12@yahoo.com,1996-02-29
197,universidad nacional de jujuy,licenciatura en musicoterapia,brooke parker,f,,estacion sola,karenthomas@gmail.com,1989-12-07
198,_universidad_de_palermo,licenciatura_en_ciencias_biológicas,john_miranda,m,2709,,kathleenrobinson@gmail.com,1934-06-30
199,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,renee thompson,f,,cangallo,zhood@hotmail.com,1939-06-07
200,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,benjamin smith,m,,alto huaco,rwilliams@gmail.com,1937-02-28
201,universidad nacional de jujuy,ingeniería electrónica,scott hernandez,m,,alisos  de abajo,benjaminmartinez@hotmail.com,1992-01-31
202,universidad nacional de jujuy,licenciatura en ciencias de la educación ,angel maxwell,m,,estacion moreno,bmcintosh@yahoo.com,1906-02-03
203,universidad nacional de jujuy,licenciatura en ciencias geológicas,kenneth edwards,m,,comandante giribone,kristalambert@gmail.com,1963-06-07
204,universidad nacional de jujuy,diseño de imagen y sonido,briana griffith,f,,glew,zavalachristopher@hotmail.com,1908-03-08
205,universidad nacional de jujuy,técnico para bioterios ,lauren hess,f,,kilometro 45,kelsey70@hotmail.com,1984-03-19
206,_universidad_de_palermo,medicina,rachel_flores,f,2752,,larrykim@gmail.com,1907-07-14
207,universidad nacional de jujuy,licenciatura en ciencias biológicas,randy nguyen,m,,est jauregui va flandria,samuelacosta@gmail.com,1988-11-14
208,universidad nacional de jujuy,licenciatura en ciencias de la computación,alexander ayala,m,,carmen,oromero@yahoo.com,1985-03-26
209,universidad nacional de jujuy,licenciatura en artes,caitlin gibson,f,,buena esperanza,rirwin@gmail.com,1924-07-03
210,universidad nacional de jujuy,ciencias veterinarias,andrew velasquez,m,,cabred,carrolllinda@yahoo.com,1924-09-18
211,universidad nacional de jujuy,técnico para bioterios ,tammy george,f,,arroyo del rey,katelyncampbell@hotmail.com,1910-08-24
212,universidad nacional de jujuy,licenciatura en artes,patricia swanson,f,,las hermanas,roger59@hotmail.com,1989-11-08
213,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,jeffrey nolan,m,,sarandi,lopezmonica@hotmail.com,1934-05-31
214,_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,elaine_keller,f,8115,,christopherbuchanan@hotmail.com,1957-04-06
215,universidad nacional de jujuy,licenciatura en ciencias geológicas,miranda nash,f,,bañado verde,ikline@gmail.com,1923-10-10
216,universidad nacional de jujuy,agronomía,tiffany johnson,f,,el brete,swinters@hotmail.com,1979-01-06
217,_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,james_klein,m,5743,,andrewvega@gmail.com,1982-08-07
218,_universidad_de_palermo,diseño_de_imagen_y_sonido,tyler_brown,m,3107,,mwagner@yahoo.com,1988-11-24
219,_universidad_de_palermo,ingeniería_mecánica,kevin_chase,m,4413,,russelljeremy@gmail.com,1972-09-07
220,universidad nacional de jujuy,bioquímica,aaron arnold,m,,boulogne,hendersonbrandon@gmail.com,1920-03-11
221,universidad nacional de jujuy,licenciatura en producción de bioimagenes,shelby bishop,f,,aguada de guerra,collinsmegan@yahoo.com,1971-04-02
222,universidad nacional de jujuy,ingeniería electrónica,jeremy jackson,m,,la ines,jimenezerik@hotmail.com,1929-05-09
223,universidad nacional de jujuy,ingeniería mecánica,lisa nelson,f,,b los aromos san patricio,howellchristian@hotmail.com,2005-10-15
224,universidad nacional de jujuy,licenciatura en ciencias de la computación,carrie shaw,f,,cinco saltos,robertsvanessa@yahoo.com,1923-05-04
225,universidad nacional de jujuy,bioquímica,kaitlin riley,f,,melincue,susan10@yahoo.com,1916-05-05
226,_universidad_de_palermo,ciencias_veterinarias,steve_banks,m,4119,,davidmartinez@gmail.com,1984-12-06
227,universidad nacional de jujuy,licenciatura en artes,tina zimmerman,f,,arbol solo,henrydixon@hotmail.com,1995-07-06
