,university,career,full_name,gender,date_of_birth,postal_code,location,email
11,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ADMINISTRACIÓN ,JAIME MARTINEZ,F,2019-03-19,8514,null,DANIELSWEENEY@YAHOO.COM
12,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,MR. THOMAS DEAN MD,M,1926-12-08,1774,null,FSMITH@YAHOO.COM
13,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,IAN MORRIS,M,1906-04-27,1895,null,YGONZALES@GMAIL.COM
14,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,KRYSTAL HILL,F,1981-02-19,1828,null,GREGORYGRIFFITH@GMAIL.COM
15,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,MRS. NATALIE NELSON DVM,F,1995-03-12,1646,null,JOHNSHAW@YAHOO.COM
16,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,REBEKAH GONZALES,F,1979-01-13,7609,null,MTERRY@YAHOO.COM
17,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,LAUREN HUNTER,F,1974-01-18,1983,null,SGROSS@YAHOO.COM
18,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,DENISE SCOTT,F,2020-03-28,5590,null,NELSONJENNIFER@YAHOO.COM
19,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,MARTHA MORGAN,F,1938-08-22,6203,null,TRACYWILKINSON@HOTMAIL.COM
20,UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,JESSICA SCHMITT,F,1932-10-13,5595,null,MSTANLEY@GMAIL.COM
21,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,ROBERT COX,M,2016-12-11,7408,null,WASHINGTONLISA@HOTMAIL.COM
22,UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,CHRISTOPHER HARPER,M,1968-09-16,1871,null,AARNOLD@GMAIL.COM
23,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,CHRISTOPHER THOMPSON,M,2016-03-24,4616,null,DUNCANROBERT@HOTMAIL.COM
24,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,SANDRA MILLER,F,1997-03-09,8118,null,SUSAN84@HOTMAIL.COM
25,UNIV. NACIONAL DEL COMAHUE,ACTUARIO ,CLAUDIA PEREZ,F,1917-08-24,8308,null,XRICHARDSON@YAHOO.COM
26,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,PARKER SHAW,M,2011-08-10,6652,null,JOHNSONPATRICIA@HOTMAIL.COM
27,UNIV. NACIONAL DEL COMAHUE,ACTUARIO ,JEFF GONZALES,M,1918-12-10,8322,null,ROBERT54@GMAIL.COM
28,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,NICHOLAS JOHNSON,M,1983-09-27,2216,null,NICHOLASSALAZAR@HOTMAIL.COM
29,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,ELIZABETH_MORENO,F,1906-06-28,null,AGUA_DE_LA_ZORRA,TAYLORLORI@YAHOO.COM
30,UNIV. NACIONAL DEL COMAHUE,FARMACIA,CATHERINE HUBBARD,F,1943-04-21,3700,null,LESLIE55@HOTMAIL.COM
31,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,BRIAN NORTON,M,1929-09-30,6321,null,KRISTEN61@YAHOO.COM
32,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PSICOLOGÍA,JANE_MCBRIDE,F,1953-06-07,null,CATARATAS_DEL_IGUAZU,NATASHAGATES@YAHOO.COM
33,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,JACQUELINE ADAMS,F,2020-10-13,3300,null,JONATHAN33@GMAIL.COM
34,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,CANDACE JONES MD,F,2018-03-15,9305,null,HARDINKEITH@YAHOO.COM
35,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,BRIDGET JAMES,F,1998-10-31,4624,null,HARRISONRANDALL@GMAIL.COM
36,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_KINESIOLOGÍA_Y_FISIATRÍA,RICKY_REESE,M,1922-01-20,null,BARRIO_FERRI,HASHLEY@GMAIL.COM
37,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,JENNIFER COHEN,F,1984-08-13,4157,null,RRAMIREZ@HOTMAIL.COM
38,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,VINCENT RODGERS,M,1923-06-17,8156,null,MELISSA16@HOTMAIL.COM
39,UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,SARAH LOWE,F,1949-11-12,1886,null,JAMESTHOMPSON@GMAIL.COM
40,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,PETER WILLIAMS,M,1971-05-14,6723,null,ASHLEY12@HOTMAIL.COM
41,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_BIOLÓGICAS,APRIL_ROSE,F,1945-07-23,null,SIERRA_DE_LA_VENTANA,VANESSA38@YAHOO.COM
42,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_POLÍTICA_,CHARLES_DAVIS,M,1994-05-12,null,CHAMICAL,STEPHEN62@HOTMAIL.COM
43,UNIV. NACIONAL DEL COMAHUE,ACTUARIO ,HEATHER COMBS,F,1993-07-20,2240,null,KELLIOTT@GMAIL.COM
44,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,ELIZABETH ORTIZ,F,1945-07-10,4626,null,VSCOTT@HOTMAIL.COM
45,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_MUSICOTERAPIA,BRENDA_HENRY,F,1999-11-14,null,CASTELAR,BOOKERCHRISTOPHER@GMAIL.COM
46,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_SOCIOLOGÍA_,SHARON_RANDOLPH,F,1949-01-27,null,EL_RETIRO,MCKINNEYKIMBERLY@YAHOO.COM
47,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,ROBERT THOMAS,M,1915-10-29,9015,null,WOODARDJEREMY@HOTMAIL.COM
48,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,ZACHARY REEVES,M,2010-05-23,3332,null,TOWNSENDDAWN@YAHOO.COM
49,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,MEGHAN WILLIAMS,F,1911-01-05,9311,null,BURKEDAVID@HOTMAIL.COM
50,UNIVERSIDAD_DEL_SALVADOR,DISEÑO_DE_IMAGEN_Y_SONIDO,AUDREY_HAYNES,F,1940-08-19,null,COLONIA_DR_GDOR_UDAONDO,HALLKATELYN@YAHOO.COM
51,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ADMINISTRACIÓN ,RYAN ANDERSON,M,1920-03-18,2840,null,JOSEPHWHITE@GMAIL.COM
52,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_AMBIENTALES,MONICA_FARLEY,F,1972-10-02,null,CAÑADA_RICA,MARIA48@YAHOO.COM
53,UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,SHELLY GENTRY,F,1908-06-19,9011,null,NATHANGARCIA@GMAIL.COM
54,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,DANIEL COBB,M,1997-06-08,6434,null,SALVARADO@GMAIL.COM
55,UNIVERSIDAD_DEL_SALVADOR,FARMACIA,LISA_SNYDER,F,1921-07-31,null,AGUA_COLORADA,COREY03@HOTMAIL.COM
56,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,SIERRA KAISER,F,1940-05-08,2508,null,SARAH66@YAHOO.COM
57,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,ANGELICA GOMEZ,F,2005-06-28,7150,null,MARY97@YAHOO.COM
58,UNIVERSIDAD_DEL_SALVADOR,ARQUITECTURA,HALEY_WILLIAMS,F,1993-05-02,null,AMBROSIO_P_LEZICA,MCGUIREKAREN@GMAIL.COM
59,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,JASON WILSON,M,1987-10-28,9033,null,HEATHERGAMBLE@YAHOO.COM
60,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,MARTHA JOHNSON,F,1959-01-01,3366,null,LUIS60@GMAIL.COM
61,UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_ELECTRÓNICA,KAREN_GORDON,F,1999-11-29,null,COLONIA_SANTA_ROSA,ROBERTTHOMAS@HOTMAIL.COM
62,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,JULIE WILSON,F,1982-07-04,3583,null,MICHELLE69@HOTMAIL.COM
63,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,SANDRA BURTON,F,1970-02-12,4500,null,KLEINLAUREN@GMAIL.COM
64,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,ALLISON MCLAUGHLIN,F,2007-02-06,3587,null,YODERMARIA@GMAIL.COM
65,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,LOUIS BENNETT,M,1954-05-14,2717,null,KAREN93@GMAIL.COM
66,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ADMINISTRACIÓN ,GREGORY BAKER,M,2017-05-03,5579,null,HERNANDEZCHRISTIAN@YAHOO.COM
67,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,VALERIE SANDERS,F,1994-07-03,1667,null,JEFFREYSMITH@GMAIL.COM
68,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,JOANN CHARLES,F,1967-11-20,2852,null,YDAVIS@GMAIL.COM
69,UNIVERSIDAD_DEL_SALVADOR,CONTADOR_PÚBLICO_,JENNIFER_MOSS,F,1908-04-14,null,IRENEO_PORTELA,ALLISON27@GMAIL.COM
70,UNIV. NACIONAL DEL COMAHUE,MEDICINA,FELICIA MILLER,F,1977-10-27,3516,null,CJOHNSON@GMAIL.COM
71,UNIVERSIDAD_DEL_SALVADOR,CIENCIAS_VETERINARIAS,MRS._ELIZABETH_THOMPSON_DVM,F,1908-09-29,null,BARCENA,PAULAWINTERS@GMAIL.COM
72,UNIV. NACIONAL DEL COMAHUE,FARMACIA,CHLOE LAMBERT,F,2018-10-21,5421,null,KATHERINE72@GMAIL.COM
73,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_POLÍTICA_,SANDY_REYES,F,1910-05-04,null,ARMINDA,EMILYBOYLE@YAHOO.COM
74,UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_EN_INFORMÁTICA,KIM_DANIELS,F,1991-05-19,null,CARAGUATA,LARRYWILSON@HOTMAIL.COM
75,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,ERIC WILSON,M,1935-06-09,3541,null,JEFFREYMONTGOMERY@HOTMAIL.COM
76,UNIVERSIDAD_DEL_SALVADOR,DISEÑO_DE_IMAGEN_Y_SONIDO,JEFFREY_SMITH,M,1932-10-18,null,ANGEL_GALLARDO,ZTAYLOR@GMAIL.COM
77,UNIV. NACIONAL DEL COMAHUE,FARMACIA,MR. BRIAN LAMBERT,M,1951-03-29,8144,null,TVELAZQUEZ@HOTMAIL.COM
78,UNIV. NACIONAL DEL COMAHUE,BIOQUÍMICA,MARIA ANDERSON,F,1984-03-15,5605,null,TANYA29@YAHOO.COM
79,UNIV. NACIONAL DEL COMAHUE,FARMACIA,ANGELA PRUITT,F,1952-09-30,7407,null,SCHAMBERS@HOTMAIL.COM
80,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_ANTROPOLÓGICAS,KEVIN_HARMON,M,1918-08-24,null,LA_FLORENCIA,BISHOPPATRICK@HOTMAIL.COM
81,UNIVERSIDAD_DEL_SALVADOR,DISEÑO_INDUSTRIAL,ANDREW_BELTRAN,M,1917-10-15,null,COLONIA_ESPAÑA,BARBARAORTIZ@HOTMAIL.COM
82,UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,DR. NICOLE BLACK MD,F,1921-01-12,1768,null,CHOICARRIE@YAHOO.COM
83,UNIVERSIDAD_DEL_SALVADOR,ARQUITECTURA,CHARLES_MASON,M,1946-04-03,null,BERNAL_ESTE,CSNYDER@YAHOO.COM
84,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PSICOLOGÍA,JENNIFER_SANCHEZ,F,1942-01-03,null,ALPASINCHE,FOSTERGARY@GMAIL.COM
85,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,KARA ADAMS,F,1972-11-05,5473,null,LISA26@GMAIL.COM
86,UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,DONALD HARRELL,M,1978-12-26,8353,null,MOORECARLOS@YAHOO.COM
87,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,CHASE HICKS,M,1930-07-07,7607,null,AMBER24@HOTMAIL.COM
88,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,ANNA PHILLIPS,F,1906-06-22,5637,null,VAUGHNJOHN@YAHOO.COM
89,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,GARY MILLER,M,1928-08-15,5411,null,USMITH@GMAIL.COM
90,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,TYLER IRWIN,M,1997-05-02,8316,null,DUNNTRACY@HOTMAIL.COM
91,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_SOCIOLOGÍA_,MELISSA_WALKER,F,1930-04-18,null,SAN_GENARO_NORTE,MWARD@GMAIL.COM
92,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,RACHEL MILLS,F,1972-07-03,1980,null,ANDREW99@YAHOO.COM
93,UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,ALLISON MILLER,F,1976-08-13,8181,null,AALVAREZ@GMAIL.COM
94,UNIV. NACIONAL DEL COMAHUE,BIOQUÍMICA,AMANDA HENRY,F,1929-03-28,6471,null,UWAGNER@GMAIL.COM
95,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,CHAD JORDAN,M,2006-04-10,3226,null,KATHY90@GMAIL.COM
96,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,CHRIS MILLER,M,1991-07-16,8340,null,CASEYSHARON@YAHOO.COM
97,UNIVERSIDAD_DEL_SALVADOR,TÉCNICO_PARA_BIOTERIOS_,BRIAN_LOPEZ,M,1922-04-06,null,AGUA_AMARGA,MIGUEL54@GMAIL.COM
98,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,SAMUEL REYES,M,1906-01-11,8313,null,TIMGUERRA@YAHOO.COM
99,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_ADMINISTRACIÓN_,CYNTHIA_LEE,F,1979-12-08,null,BARRIO_VILLA_SALADILLO,CASTROJAMIE@YAHOO.COM
100,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,BRUCE WALKER,M,1988-11-23,3540,null,ACOSTACHELSEA@HOTMAIL.COM
101,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PSICOLOGÍA,HEIDI_WOOD,F,1912-02-10,null,EL_CENIZO,HOLSEN@HOTMAIL.COM
102,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_ADMINISTRACIÓN_,FRANCISCO_SWEENEY,M,1943-07-03,null,AGUADA_DE_LAS_TEJAS,RMCINTOSH@HOTMAIL.COM
103,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,KYLE SMITH,M,1964-05-23,5634,null,KYLEMARTIN@GMAIL.COM
104,UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,STEVEN RASMUSSEN,M,1958-01-24,3583,null,MARIO10@GMAIL.COM
105,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_KINESIOLOGÍA_Y_FISIATRÍA,DAWN_FLORES,F,1911-12-10,null,EL_RETIRO,DEBBIE46@YAHOO.COM
106,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,ANTHONY COMPTON,M,1967-09-14,6555,null,NATALIECRAWFORD@YAHOO.COM
107,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,MRS. EMILY RAMIREZ,F,1948-01-16,2258,null,TAYLORAMBER@YAHOO.COM
108,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,BRAD GONZALEZ,M,1967-03-27,4186,null,LEAHWOODS@YAHOO.COM
109,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,ASHLEY HAMILTON,F,2000-01-16,1640,null,PECKCHRIS@HOTMAIL.COM
110,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,PATRICIA GARDNER,F,1974-05-10,3197,null,HUGHESNINA@YAHOO.COM
111,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,RENEE DAY,F,1981-11-21,9001,null,WBLACK@GMAIL.COM
112,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,LISA_OROZCO,F,1954-10-23,null,ARMINDA,ZHESTER@GMAIL.COM
113,UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,JASON JACKSON,M,2010-05-28,8122,null,WCAIN@GMAIL.COM
114,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,MATTHEW ALLISON,M,1960-08-24,2252,null,OWILLIAMS@YAHOO.COM
115,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,MICHAEL PALMER,M,2003-04-15,3374,null,ANNEFLORES@GMAIL.COM
116,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,THOMAS SILVA,M,2000-06-26,1864,null,DAVIDFOSTER@HOTMAIL.COM
117,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,MICHELLE HARRIS,F,1968-02-11,8187,null,DAVID24@YAHOO.COM
118,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_ANTROPOLÓGICAS,CRYSTAL_BAXTER,F,1952-09-17,null,ARROYO_PASTORA,YOUNGKEVIN@HOTMAIL.COM
119,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,TODD OCHOA,M,1944-01-11,6551,null,LMCMAHON@YAHOO.COM
120,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_MUSICOTERAPIA,HEATHER_RICHARDSON,F,1908-01-08,null,CAÑADON_LEON,PAMELAMAYER@GMAIL.COM
121,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,JOSEPH_BALDWIN,M,1974-02-04,null,VALLE_HONDO,HARRINGTONJORDAN@HOTMAIL.COM
122,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,RICHARD AYALA,M,1939-02-18,3364,null,GMARTINEZ@HOTMAIL.COM
123,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PSICOLOGÍA,GAIL_PALMER,F,1949-12-14,null,SAN_JOSE_DE_PIEDRA_BLANCA,GLANE@YAHOO.COM
124,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,NICOLE BRENNAN,F,1929-01-18,3023,null,WESTWILLIAM@GMAIL.COM
125,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,JEFFREY WARD,M,1937-10-24,6665,null,JASMINE13@GMAIL.COM
126,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,AMANDA DYER,F,1936-04-22,2208,null,SRODRIGUEZ@YAHOO.COM
127,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,TRACY WELLS,F,1982-06-13,8203,null,THOMPSONBRADLEY@YAHOO.COM
128,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,ANTHONY SUTTON,M,1963-07-10,1884,null,JBLANCHARD@YAHOO.COM
129,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_ARTES,DAISY_TYLER,F,1970-03-13,null,CABAÑA_EL_CISNE,RODNEY66@GMAIL.COM
130,UNIV. NACIONAL DEL COMAHUE,MEDICINA,MEGAN SMITH,F,1982-10-19,7201,null,COREY28@HOTMAIL.COM
131,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,ROBERT WANG,M,1929-06-30,6632,null,JENNIFER19@GMAIL.COM
132,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,MARGARET HOLT,F,1928-03-01,5615,null,GARZAHEATHER@GMAIL.COM
133,UNIVERSIDAD_DEL_SALVADOR,DISEÑO_DE_IMAGEN_Y_SONIDO,COURTNEY_KIRK,F,1968-07-06,null,CAMPO_MEDINA,MBREWER@GMAIL.COM
134,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,MICHAEL VILLA,M,1908-04-10,9101,null,PAULDENISE@GMAIL.COM
135,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,ANTHONY GEORGE,M,1941-09-05,8536,null,JOHN53@GMAIL.COM
136,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,NANCY CLARK,F,2010-03-25,7167,null,MATTHEW84@HOTMAIL.COM
137,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,VIRGINIA MITCHELL,F,2021-05-23,5741,null,ALLISON88@HOTMAIL.COM
138,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,JAMES PETTY,M,1969-03-13,5521,null,ETHANJIMENEZ@HOTMAIL.COM
139,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,BRENDA GAMBLE,F,2001-01-24,4134,null,ANGEL72@GMAIL.COM
140,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_POLÍTICA_,SHERI_FITZGERALD,F,1928-04-07,null,ITURRASPE,TAYLOROBRIEN@GMAIL.COM
141,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,TAMMY_SUTTON,F,1952-06-18,null,FRANCISCO_MADERO,CHARLES28@HOTMAIL.COM
142,UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_MECÁNICA,JEFFREY_LEWIS,M,1933-06-30,null,BARROS_PAZOS,CHRISTOPHER93@YAHOO.COM
143,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,MATTHEW CARTER,M,1933-02-17,6616,null,OOCONNOR@GMAIL.COM
144,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,KENNETH NEWMAN,M,1915-11-24,4176,null,EREEVES@YAHOO.COM
145,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,PATRICK GARRETT,M,1983-09-21,4186,null,GREENECHARLES@YAHOO.COM
146,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_KINESIOLOGÍA_Y_FISIATRÍA,KAITLIN_WADE,F,2005-01-13,null,DOCTOR_DOMINGO_HAROSTEGUY,LUISCARTER@YAHOO.COM
147,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,KATHY MILLS,F,1932-06-12,5365,null,OBUCKLEY@HOTMAIL.COM
148,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,PETER_DUNN,M,1986-03-26,null,LOS_MOLINOS,NGARRETT@YAHOO.COM
